Loading rom...WARNING: tb_single_row.v:113: $readmemh(split_images/paris_red_2): Not enough words in the file for the requested range [0:431999].
Done
                   x |   x |   x, loadOut:x --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||x outputRow: xxxxxxxxxxxxxxxx
                  40 |  42 |  46, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||1 outputRow: xxxxxxxxxxxxxxxx
                  40 |  43 |  47, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||1 outputRow: xxxxxxxxxxxxxxxx
                  40 |  44 |  48, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||1 outputRow: xxxxxxxxxxxxxxxx
                  40 |  45 |  49, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||1 outputRow: xxxxxxxxxxxxxxxx
                  40 |  46 |  50, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||1 outputRow: xxxxxxxxxxxxxxxx
                  40 |  47 |  51, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||1 outputRow: xxxxxxxxxxxxxxxx
                  40 |  48 |   2, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||1 outputRow: xxxxxxxxxxxxxxxx
                  41 |  49 |   3, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||1 outputRow: xxxxxxxxxxxxxxxx
                  42 |  50 |   4, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  43 |  51 |   5, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  44 |   2 |   6, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  45 |   3 |   7, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  46 |   4 |   8, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  47 |   5 |   9, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  48 |   6 |  10, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  49 |   7 |  11, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  50 |   8 |  12, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  51 |   9 |  13, loadOut:0 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
                  52 |  10 |  14, loadOut:1 --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||0 outputRow: xxxxxxxxxxxxxxxx
